id,text,created_at,retweet_count,reply_count,like_count,quote_count
1909278397215428938,"RT @ModestusOkoye: This will be totally fun.

I have used @UseUniversalX and I know how much I loved using it and will still love using it.…",2025-04-07T16:13:37.000Z,2,0,0,0
1909244883874787557,"we're giving access to just a handful of select apps at a time until the public SDK release later this year

we're calling the first 10 ""cohort 1""",2025-04-07T14:00:27.000Z,0,2,5,0
1909244342633455804,"the first 10 projects to be completely chain-abstracted using Universal Accounts will go live before you know it

chain abstraction",2025-04-07T13:58:17.000Z,1,12,34,3
1909239903021379732,GM UX MAXIS,2025-04-07T13:40:39.000Z,1,13,19,0
1909014011951095910,@AlbrightMusk @AHorlaplusone @grandpa_layne @RealNica4 @Four0905 UX maxis,2025-04-06T22:43:02.000Z,0,1,2,0
1908948345282027606,"RT @Megalodon9491: Major info from @ParticleNtwrk $PARTI

@TABASCOweb3 here talking about using:  

""apps across multiple verticles that ar…",2025-04-06T18:22:06.000Z,1,0,0,0
1908937267072369047,"if you get shaken out in a market like this, you weren’t serious in the first place

conviction may be the most important trait in crypto",2025-04-06T17:38:05.000Z,2,11,51,0
1908553399689159096,"RT @AHorlaplusone: Alpha 🔔 on @ParticleNtwrk &amp; @UseUniversalX 

Buy more $Parti now!

$Parti will be used to:

•Pay for gas 

•Secure Parti…",2025-04-05T16:12:44.000Z,1,0,0,0
1908553294340816900,"@naruto11eth @AvailProject @megaeth_labs @monad_xyz @keoneHD damn I need to post more I guess

chain abstraction chain abstraction chain abstraction",2025-04-05T16:12:19.000Z,0,1,3,0
1908522879974580719,"@mraltantutar one of the biggest indicators I've found is the *question and answer* format for explaining an idea.

like:

""The purpose? To avoid sounding like AI.""

if something has this question:answer thing it's like 99% AI generated. overused",2025-04-05T14:11:27.000Z,0,0,2,0
1908497028302123066,"RT @TABASCOweb3: follow everyone here

ground zero

chain abstraction
https://t.co/I1xkTRA8R9",2025-04-05T12:28:44.000Z,3,0,0,0
1908496952083309015,"RT @TABASCOweb3: never bridge again

2025 is the year of chain abstraction https://t.co/WL7TVRMkQI",2025-04-05T12:28:26.000Z,5,0,0,0
1908496880482336921,"RT @TheDeFiKenshin: Very soon, your favorite dApp will be chain-abstracted, and gradually, we will forget about bridging forever.

@Particl…",2025-04-05T12:28:09.000Z,1,0,0,0
1908490417957482632,RT @0xNairolf: @TABASCOweb3 study universlax,2025-04-05T12:02:28.000Z,2,0,0,0
1908454724786860158,@ri5hitripathi ong,2025-04-05T09:40:38.000Z,0,0,1,0
1908454267570045363,@naruto11eth @AvailProject @megaeth_labs @monad_xyz @keoneHD chain abstraction,2025-04-05T09:38:49.000Z,0,1,1,0
1908449046387450120,"post-tge is simple if you actually build products worth using:

1. build something of value

2. and maintain a specific, measurable goal https://t.co/J9PWVz2gFO",2025-04-05T09:18:04.000Z,1,5,19,1
1908300508630245614,"RT @AHorlaplusone: Staking was mentioned on @TABASCOweb3 live stream today as part of the UniversalX V3 update 

I guess limit orders too w…",2025-04-04T23:27:50.000Z,1,0,0,0
1908300398395265273,@Megalodon9491 @UseUniversalX @ParticleNtwrk 🫡,2025-04-04T23:27:24.000Z,0,0,1,0
1908271742939754829,RT @grandpa_layne: Noticed some people are having issues figuring out which bridge to use in order to complete this wallet missions on @AIW…,2025-04-04T21:33:32.000Z,5,0,0,0
1908247277493510316,"YES you can trade OOGA on berachain using assets from any other chain

just bought some using SOL

only on @UseUniversalX https://t.co/HUvJRXFjfe https://t.co/dzVqhyt9s9",2025-04-04T19:56:19.000Z,2,4,30,1
1908238359665025303,RT @fruityespresso: out of thousands of coins/tokens with ZERO utility there is literally just 3 who are solving a specific problem in thei…,2025-04-04T19:20:52.000Z,1,0,0,0
1908218552374435958,@KhanAbbas201 @UseUniversalX 🫡,2025-04-04T18:02:10.000Z,0,0,1,0
1908213957422412154,"RT @KhanAbbas201: Since the last tweet regarding terrible UX on non-custodial products blew up, Many folks recommended me to try some platf…",2025-04-04T17:43:55.000Z,13,0,0,0
1908213929341301190,"RT @KhanAbbas201: 2. @UseUniversalX

A chain agnostic trading platform by the @ParticleNtwrk team which allows users to buy and sell any to…",2025-04-04T17:43:48.000Z,1,0,0,0
1908211703684489603,RT @lincolnarunga: This calm evening I'll remind you to use @UseUniversalX and follow closely the developments of @ParticleNtwrk . #NeverBr…,2025-04-04T17:34:57.000Z,1,0,0,0
1908211665856081947,"RT @Megalodon9491: It's all gone Tits Up

Trading $TITCOIN on @UseUniversalX https://t.co/6ltpg3jcGf",2025-04-04T17:34:48.000Z,2,0,0,0
1908188203984601439,the neon sign stays on https://t.co/tWrMlGZ5Ez,2025-04-04T16:01:34.000Z,1,4,14,0
1908187835590717926,@Morningstar_VC @ParticleNtwrk never bridge again,2025-04-04T16:00:07.000Z,0,0,1,0
1908187664920318240,"RT @Morningstar_VC: Why Are We Bullish on @ParticleNtwrk?
 
Because its commitment to chain abstraction is making blockchain accessible to…",2025-04-04T15:59:26.000Z,6,0,0,0
1908154362771177965,RT @0xNairolf: @TABASCOweb3 UX maxi,2025-04-04T13:47:06.000Z,1,0,0,0
1908153915989782713,"RT @Megalodon9491: To anyone who sees this:

@UseUniversalX is the trading app built on @ParticleNtwrk that lets you trade across all major…",2025-04-04T13:45:20.000Z,3,0,0,0
1908153809399959751,"RT @Matt_Peters92: Phase 1 For Chain Abstraction: Secure The Narrative ✅

Phase 2 For Chain Abstraction: Proof Of Product 85% 
- @ParticleN…",2025-04-04T13:44:54.000Z,6,0,0,0
1908152037222531549,@helloccyy LFG,2025-04-04T13:37:52.000Z,0,0,0,0
1908151117227098440,@0xNairolf based and UXpilled,2025-04-04T13:34:12.000Z,0,1,3,0
1908144701074555065,"RT @0xNairolf: (not so) hot take:

adoption is dependent on chain abstraction",2025-04-04T13:08:43.000Z,6,0,0,0
1908142610566566163,rule 1: don't get shaken out https://t.co/paZNE8mIL8,2025-04-04T13:00:24.000Z,3,3,29,2
1908138253544210799,@buecat @LimitMM @Macr0Mark @matrixthesun @rare_theGem @Megalodon9491 @CharcoOnchain @iam_LeriK @Sadwire23 @The_Tradeguru @0x_scientist UX maxi,2025-04-04T12:43:05.000Z,0,0,1,0
1908137780082856329,@gioz31 followed,2025-04-04T12:41:12.000Z,0,0,1,0
1908125496719671438,@Bakul_RACA UniversalX is for everyone.,2025-04-04T11:52:24.000Z,1,0,1,0
1908123538277441882,@Kadoosh1e followed,2025-04-04T11:44:37.000Z,0,1,1,0
1908120072335355995,@wang95779713 ux maxi in bio. followed,2025-04-04T11:30:51.000Z,0,1,1,0
1908119267800711224,"follow everyone here

ground zero

chain abstraction
https://t.co/I1xkTRA8R9",2025-04-04T11:27:39.000Z,3,10,28,0
1908117780794421509,@gioz31 NBA NBA,2025-04-04T11:21:44.000Z,0,0,1,0
1908115367739752809,RT @UseUniversalX: be a UX maxi,2025-04-04T11:12:09.000Z,4,0,0,0
1908105990026735701,"@SunnyBiao @UseUniversalX @grok gmgm, happy to answer those:

1. Depends on how they do the airdrop; if it's to all holding addresses, yes it'll show in UniversalX. If they don't drop to contract addresses, it may be skipped.
2. Very soon - next version will include limit orders.",2025-04-04T10:34:53.000Z,0,0,0,0
